name,type,level,demand,gap,sources
"golang",skill,0,2.0,2.0,"ai-feeds:1tz1j5v"
"lua",skill,0,2.0,2.0,"ai-feeds:1tz1j5v"
"express",skill,0,2.0,2.0,"ai-feeds:1txp7ah"
"rest",skill,0,2.0,2.0,"ai-feeds:1txp7ah"
"openai",skill,0,2.0,2.0,"ai-feeds:1txp7ah"
"anthropic",skill,0,2.0,2.0,"ai-feeds:1txp7ah"
"git",skill,0,2.0,2.0,"ai-feeds:1tyyy9i"
"bun",skill,0,2.0,2.0,"ai-feeds:1tz1mdu"
"gin",skill,0,2.0,2.0,"ai-feeds:1tz6j0y"
"rust",skill,0,2.0,2.0,"ai-feeds:1tz8vm2"
"html",skill,0,2.0,2.0,"ai-feeds:1tyt63g"
"linux",skill,0,2.0,2.0,"ai-feeds:1tz7vgb"
"huggingface",skill,0,2.0,2.0,"ai-feeds:1tyto0j"
"github",skill,0,2.0,2.0,"ai-feeds:1tyrrht"
"c++",skill,0,2.0,2.0,"ai-feeds:1tz2p8h"
"pytorch",skill,0,2.0,2.0,"ai-feeds:1tz2p8h"
"ci/cd",skill,0,2.0,2.0,"ai-feeds:1tyockn"
"python",skill,0,2.0,2.0,"ai-feeds:1typjmc"
"numpy",skill,0,1.0,1.0,"ai-feeds:1txvvo4"
"php",skill,0,0.6,0.6,"ai-feeds:hn-48431237"
"amazon web services",skill,0,2.0,2.0,"ai-feeds:hn-48428446"
"sass",skill,0,0.2,0.2,"ai-feeds:hn-48419023"
"scala",skill,0,2.0,2.0,"ai-feeds:2606.06094v1"
"deno",skill,0,2.0,2.0,"ai-feeds:2606.06160v1"
"react",skill,0,2.0,2.0,"ai-feeds:2606.06223v1"
"multi-step reasoning",skill,0,2.0,2.0,"ai-feeds:2606.06388v1"
"planning",skill,0,2.0,2.0,"ai-feeds:2606.06388v1"
"tool use",skill,0,2.0,2.0,"ai-feeds:2606.06388v1"
"redis",skill,0,2.0,2.0,"ai-feeds:2606.06391v1"
"rails",skill,0,2.0,2.0,"ai-feeds:2606.06454v1"
"postgresql",skill,0,2.0,2.0,"ai-feeds:2606.06460v1"
